SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1648227643.638250, , , , , , , , , 
1648227643.671584, -0.167893, -9.863812, 0.514005, -0.012441, 0.014840, 0.002449, 95.228271, -2.990036, 68.927826
1648227643.704897, -0.242563, -9.800515, 0.580295, -0.014517, 0.016564, -0.009653, 95.231949, -2.791901, 68.744110
1648227643.738231, -0.028132, -9.776124, 0.503830, -0.020387, 0.019050, -0.012963, 95.427536, -2.764954, 69.003922
1648227643.771577, -0.072574, -9.769690, 0.563086, -0.023714, 0.012049, -0.011384, 95.545135, -3.027954, 68.732559
1648227643.804960, -0.044891, -9.766397, 0.557699, -0.028704, 0.016203, -0.009943, 95.425980, -2.912033, 68.518463
1648227643.838262, 0.011522, -9.777770, 0.421379, -0.030288, 0.021210, 0.003800, 95.309891, -2.918045, 68.872269
1648227643.871580, -0.177171, -9.718962, 0.384419, -0.022927, 0.043321, 0.006973, 95.260910, -2.963104, 68.738815
1648227643.904921, -0.138864, -9.634267, 0.426318, -0.030231, 0.089558, -0.007656, 95.307266, -2.850281, 69.009186
1648227643.938236, -0.008978, -9.913940, 0.509366, -0.050884, 0.014590, 0.010719, 95.327423, -2.839020, 68.641403
1648227643.971580, -0.061651, -9.865607, 0.712574, -0.081533, -0.003973, 0.003199, 95.655136, -2.588287, 68.887497
1648227644.004951, -0.295085, -9.763405, 0.562637, -0.112858, -0.076318, -0.026779, 95.346710, -2.540802, 68.523270
1648227644.038236, -0.956035, -10.008361, 0.481683, -0.091209, 0.004586, -0.106135, 95.379242, -2.653458, 68.255127
1648227644.071571, -0.496647, -9.999084, 0.371101, -0.095657, 0.046916, -0.162921, 95.569122, -2.611130, 68.350357
1648227644.104906, -0.527323, -9.828048, 0.415544, -0.096912, 0.065178, -0.231446, 95.583084, -2.984375, 68.146118
1648227644.138235, -0.811485, -9.918429, 0.464774, -0.096867, 0.073547, -0.362821, 95.940704, -3.017883, 68.003540
1648227644.171636, -1.063325, -9.889998, 0.299874, -0.075689, -0.023772, -0.568376, 96.142944, -3.434906, 67.972473
1648227644.204907, -1.975516, -10.418967, 0.315436, -0.006618, -0.194015, -0.825923, 96.554245, -3.906845, 67.834412
1648227644.238235, -1.928529, -10.704176, 0.581342, 0.053616, -0.265998, -1.130276, 96.765320, -4.243393, 67.592987
1648227644.271584, -1.035642, -11.363330, 1.108066, 0.171452, -0.504514, -1.432532, 97.107208, -4.893997, 67.321304
1648227644.304971, -0.474202, -11.050288, 1.424400, 0.365035, -0.465735, -1.541450, 98.006241, -6.486649, 67.222168
1648227644.338250, 0.311845, -10.759991, 1.430087, 0.440605, -0.172685, -1.485847, 98.927078, -7.465866, 67.034409
1648227644.371575, -1.152958, -9.646987, -0.127192, 0.377087, 0.369500, -0.906720, 99.529175, -8.263519, 66.439926
1648227644.404729, -1.428441, -8.281394, 0.400131, 0.293413, 1.008768, -0.346147, 100.727722, -8.944656, 65.746994
1648227644.438244, -0.253935, -8.173804, 0.508469, 0.052288, 1.002651, 0.286973, 101.492813, -9.190689, 65.173645
1648227644.471575, 0.303914, -8.612243, 0.424522, -0.268217, 0.539611, 1.061422, 101.934555, -9.085678, 63.740768
1648227644.504901, 0.114622, -8.933664, 0.749535, -0.320042, 0.529377, 1.426892, 102.309402, -8.638306, 63.016922
1648227644.537742, -0.608726, -9.601497, 0.727688, -0.299485, 0.808921, 1.669001, 102.664688, -8.188171, 62.053299
1648227644.571569, -1.098639, -9.906907, 0.661697, -0.183860, 1.326065, 1.842191, 103.344269, -8.132294, 61.027618
1648227644.604416, -0.891391, -10.519524, 1.056292, -0.181208, 1.486899, 1.936856, 104.170135, -7.746246, 60.251343
1648227644.638252, -1.356914, -10.429442, 0.966958, -0.192938, 1.553471, 1.938849, 105.706787, -8.118744, 58.937851
1648227644.671599, -0.739958, -10.523115, 1.412280, -0.245087, 1.330409, 1.958268, 106.736984, -8.689438, 58.082230
1648227644.704943, -0.531064, -10.048913, 1.345392, -0.248822, 0.572854, 2.058890, 107.204330, -9.141159, 57.283386
1648227644.738236, -0.180463, -9.308955, 1.563713, -0.130766, -0.182812, 2.071442, 107.313690, -10.425659, 56.595978
1648227644.771572, -0.536451, -8.959252, 1.526453, 0.093258, -0.775291, 1.911703, 106.751190, -11.426117, 55.955322
1648227644.804898, -1.091606, -8.758738, 0.892738, 0.306324, -1.126837, 1.378208, 105.733063, -12.172791, 55.465195
1648227644.838240, -2.448819, -8.979453, 0.156671, 0.432927, -0.412664, 0.525659, 105.420090, -13.878510, 54.686996
1648227644.871571, -1.273117, -9.005640, 0.106542, 0.566001, 0.367273, -0.459736, 106.238937, -14.921646, 54.663773
1648227644.904900, 3.448698, -8.365490, 1.377115, 0.768358, 0.486803, -1.355503, 107.892410, -15.926987, 53.875214
1648227644.937362, 1.250970, -13.448979, 1.690755, -0.088118, -0.519341, -0.977925, 109.397293, -16.593445, 53.903427
1648227644.971590, -10.445453, -13.567791, -4.096030, 0.660069, 0.445283, -1.293024, 110.649033, -17.285461, 53.474411
1648227645.004910, 2.204162, -13.099874, 0.500089, 0.935096, 0.773152, -1.651661, 112.860184, -17.760529, 54.850357
1648227645.038252, 1.503559, -7.018303, 5.083938, 0.969489, 0.148274, -1.384332, 114.681686, -18.165619, 55.488327
1648227645.071588, 3.534739, -10.837354, 6.584653, 0.407711, -1.191751, -0.915482, 115.195099, -18.229004, 55.827377
1648227645.104906, -2.854337, -10.119692, -0.366163, 0.420236, -0.249560, -0.766089, 114.909012, -18.516922, 56.148727
1648227645.138301, -0.321122, -9.527875, 1.523311, 0.389554, -0.220123, -0.703340, 115.918808, -18.629227, 56.439804
1648227645.171568, 0.246154, -9.287108, 4.084658, 0.284809, -0.894045, -0.555672, 115.957458, -18.853088, 56.474564
1648227645.204962, -0.770035, -9.430760, 2.863465, 0.254021, -0.479750, -0.600728, 116.173203, -18.743912, 56.517502
1648227645.238303, -0.727538, -9.509769, 2.714426, 0.227176, -0.782018, -0.575518, 116.261337, -19.063477, 56.946503
1648227645.271571, -1.024718, -9.495254, 2.579004, 0.234967, -0.369940, -0.738491, 116.713837, -19.047333, 57.110214
1648227645.304919, 0.020949, -9.687688, 2.724452, 0.212792, -0.384393, -0.763218, 117.209579, -19.281998, 57.169296
1648227645.338254, 0.775572, -9.502437, 2.680159, 0.189474, -0.281870, -0.812272, 117.722931, -19.178894, 57.379730
1648227645.371578, 0.483180, -9.070433, 3.112612, 0.213377, -0.266632, -0.824828, 118.492554, -19.308777, 57.358780
1648227645.404911, 1.683573, -9.662848, 2.401235, 0.233095, -0.504843, -0.834881, 119.485764, -19.378662, 57.630035
1648227645.438240, 0.411653, -9.216180, 3.127875, 0.205684, -0.506949, -0.921835, 119.818909, -19.202774, 57.893387
1648227645.471612, -0.051625, -9.013870, 2.713379, 0.256085, -0.437592, -1.112588, 120.742538, -19.230179, 57.850845
1648227645.504908, -0.497844, -9.985317, 2.425925, 0.290994, -0.332397, -1.383520, 122.467133, -18.616577, 57.641037
1648227645.538242, -1.059434, -10.855909, 2.279729, 0.305915, -0.149505, -1.793865, 124.213989, -18.188126, 58.065887
1648227645.571571, 0.795922, -11.531074, 3.431789, 0.262433, -0.342323, -1.997645, 126.099625, -17.537415, 58.635223
1648227645.604906, -0.271592, -13.196690, 4.117279, 0.154657, -0.558715, -2.236375, 129.495682, -16.248520, 58.761047
1648227645.638250, -2.562544, -14.071771, 2.719364, 0.213702, -1.077127, -2.505134, 132.409317, -15.120987, 59.084259
1648227645.671574, -2.026542, -18.647389, 0.395941, 0.206336, -2.586409, -2.516218, 134.903320, -13.543457, 57.882462
1648227645.704909, -4.602105, -15.874006, 2.382231, 0.302757, -1.033166, -3.153145, 138.536423, -11.758316, 57.923325
