SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1648227769.485603, , , , , , , , , 
1648227769.519428, 0.023343, -9.704148, 1.583764, 0.041168, 0.049072, -0.008452, 109.267868, -70.068481, 165.290253
1648227769.552747, 0.064793, -9.697714, 1.851765, 0.034206, 0.027747, 0.000609, 109.058365, -69.945801, 165.525131
1648227769.586079, -0.002693, -9.627384, 1.709011, 0.030235, 0.006425, -0.005581, 108.849960, -69.708664, 165.530746
1648227769.619432, 0.276081, -9.620800, 1.655890, 0.031638, 0.000368, 0.004743, 108.887558, -69.846176, 165.778107
1648227769.652751, 0.100856, -9.617508, 1.669058, 0.031306, -0.010222, 0.003269, 109.028564, -69.669434, 165.790894
1648227769.686076, -0.247950, -9.693075, 1.653645, 0.042725, 0.008378, -0.032306, 109.273209, -69.658585, 165.936874
1648227769.719442, -0.222062, -9.686641, 1.611896, 0.057056, 0.041141, -0.060398, 109.110016, -69.504791, 166.255615
1648227769.752771, -0.079458, -9.805752, 1.655142, 0.063070, 0.009730, -0.076594, 109.168472, -69.511627, 166.054169
1648227769.786093, 0.230592, -9.362077, 1.628356, 0.094513, -0.030810, -0.124810, 109.515717, -69.435806, 166.298431
1648227769.819417, -0.090531, -9.863363, 1.853860, 0.126340, 0.078526, -0.101003, 109.692856, -69.179688, 166.705551
1648227769.852751, 0.719607, -9.649979, 1.859397, 0.113087, 0.025046, -0.042088, 109.680038, -69.021500, 167.422028
1648227769.886079, 0.175525, -9.478046, 1.880945, 0.113447, 0.062224, -0.050287, 109.511597, -68.915894, 167.490280
1648227769.919446, 0.051475, -9.600599, 1.864485, 0.132989, -0.006549, -0.025156, 109.853271, -68.672272, 168.028061
1648227769.952763, 0.379182, -9.714024, 1.557727, 0.141696, 0.073817, -0.044606, 109.731155, -68.440155, 168.427765
1648227769.986089, 0.077213, -9.474006, 1.997363, 0.160211, 0.044276, -0.069171, 109.751129, -68.350952, 168.734024
1648227770.019408, 0.050877, -9.513510, 1.991976, 0.187612, 0.076288, -0.068675, 109.659454, -68.005859, 169.213638
1648227770.052767, 0.168791, -9.684995, 1.790264, 0.197832, 0.148744, -0.111367, 109.286484, -67.673859, 169.996750
1648227770.086073, -0.163554, -9.142858, 1.789666, 0.239892, 0.172124, -0.189027, 109.102509, -67.336090, 170.467300
1648227770.119414, 0.099659, -9.717316, 2.207454, 0.290734, 0.318410, -0.244909, 108.487717, -66.791443, 171.296555
1648227770.152803, 0.202460, -9.182512, 1.683573, 0.331278, 0.369596, -0.304666, 108.130661, -66.463943, 173.019119
1648227770.186106, 0.271293, -9.442881, 2.595764, 0.333039, 0.431263, -0.359491, 107.309601, -65.998734, 173.756577
1648227770.219407, -0.540940, -9.946112, 2.812588, 0.295312, 0.426805, -0.370667, 106.901535, -65.748291, 174.515717
1648227770.252769, 1.061978, -9.956437, 3.598485, 0.202647, 0.238978, -0.343301, 106.302368, -65.222336, 175.153473
1648227770.286129, 0.334590, -9.231892, 3.661632, 0.140005, -0.009986, -0.338899, 106.522461, -64.654221, 175.699707
1648227770.319420, 0.381127, -10.119542, 2.675221, 0.108964, -0.243863, -0.382774, 107.959366, -64.183243, 175.851929
1648227770.352744, 0.968305, -9.316587, 3.021931, 0.093772, -0.414142, -0.408098, 109.988342, -63.674149, 175.968994
1648227770.386145, 0.678756, -9.356241, 3.328988, 0.064839, -0.452407, -0.466376, 111.937180, -62.951279, 175.780121
1648227770.419408, 1.147720, -9.402479, 2.607585, 0.080936, -0.386168, -0.517605, 113.857422, -62.545563, 175.751266
1648227770.451893, 1.037288, -9.530868, 2.515707, 0.081141, -0.263982, -0.551097, 115.982697, -61.626755, 175.243851
