SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1648228411.585229, , , , , , , , , 
1648228411.618840, -0.431405, -9.745299, -0.853683, -0.010017, -0.055727, 0.005711, 39.994446, -33.523422, 32.615158
1648228411.652165, -0.465971, -9.880870, -0.900220, -0.022114, -0.036224, -0.011790, 39.790482, -33.366852, 32.823898
1648228411.685496, -0.386813, -9.531317, -0.967557, 0.017947, 0.059704, 0.011332, 39.939392, -33.299637, 32.603241
1648228411.718837, -0.448314, -10.034548, -0.820613, 0.033611, 0.116986, 0.005346, 39.936356, -33.266190, 32.745483
1648228411.752163, -0.334889, -9.876680, -1.205331, 0.051571, 0.092222, -0.048699, 40.049728, -33.192337, 32.492310
1648228411.785501, -0.144550, -9.750536, -1.139341, 0.078038, 0.086625, -0.063305, 40.334305, -33.222000, 32.500732
1648228411.818917, -0.399682, -9.596858, -0.761805, 0.023927, 0.031323, -0.068779, 40.347031, -33.643677, 32.785507
1648228411.852184, -0.328006, -9.453805, -0.667234, 0.010462, 0.058992, -0.033240, 40.347610, -33.517746, 32.717422
1648228411.885511, -0.399083, -9.646538, -0.619799, 0.013452, 0.068034, -0.011378, 40.504837, -33.608780, 32.898636
1648228411.918841, -0.398934, -9.750237, -0.518195, 0.028979, 0.115529, -0.005698, 40.651413, -33.489166, 32.537125
1648228411.952176, -0.256030, -9.837625, -0.500089, 0.012295, 0.133303, 0.010746, 40.534454, -33.561920, 32.699768
1648228411.985502, -0.355988, -10.051607, -0.349553, -0.015893, 0.090198, 0.012292, 40.676682, -33.716461, 32.739563
1648228412.018847, -0.679205, -9.941473, -0.295983, -0.069401, 0.060626, -0.014716, 40.580063, -33.576675, 32.739410
1648228412.052165, -0.914585, -10.215011, -0.343119, -0.063577, 0.137364, -0.015292, 40.830536, -33.565414, 32.368439
1648228412.085516, -0.797419, -10.344597, -0.415544, -0.039947, 0.215030, -0.044555, 41.009140, -33.472198, 32.154816
1648228412.118830, -0.640748, -9.842713, -0.320823, -0.058583, 0.272804, -0.125921, 41.184723, -33.547974, 32.022156
1648228412.152222, -0.210690, -9.526079, -0.284760, -0.137018, 0.283869, -0.213964, 41.918030, -33.740692, 31.722198
1648228412.185494, 0.510863, -8.980052, 0.203657, -0.172425, 0.165728, -0.147885, 42.042694, -33.589249, 31.351578
1648228412.218837, 0.646285, -9.325266, 0.561141, -0.287197, -0.158290, -0.167824, 42.452332, -33.635971, 30.876923
1648228412.252177, 0.993145, -9.458443, -0.070629, -0.357259, -0.622857, -0.198866, 42.204010, -33.497391, 30.610260
1648228412.285545, 0.525228, -9.546131, -0.779013, -0.410396, -0.945991, -0.360848, 42.558960, -33.433502, 30.491058
1648228412.318849, 0.202460, -9.034819, -1.943194, -0.218358, -1.107100, -0.434180, 42.442978, -33.446152, 30.134796
1648228412.352169, -0.675763, -10.432883, -2.122310, -0.002110, -1.202860, -0.409513, 42.382736, -33.775040, 30.804657
1648228412.384641, -1.074997, -11.112837, -2.546982, -0.005183, -0.956690, -0.453905, 42.635376, -33.948105, 30.806717
1648228412.418853, -1.138443, -10.060884, -2.954894, 0.009987, -0.481262, -0.539615, 43.047409, -34.185471, 31.135422
