SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1648228479.780829, -1.298555, -9.792285, -1.057339, -0.021431, 0.003914, -0.006083, 64.746109, -49.378159, 50.159424
1648228479.814134, -1.527351, -9.607931, -1.064821, 0.012030, 0.053293, 0.005373, 64.598526, -49.529556, 50.314117
1648228479.847452, -1.407192, -9.700557, -1.079785, -0.011402, 0.074744, -0.008080, 64.664825, -49.360229, 50.181244
1648228479.880823, -1.389385, -9.575161, -1.082778, 0.001331, 0.131528, -0.003333, 64.512527, -49.343765, 50.473709
1648228479.914142, -1.276259, -9.673323, -0.962170, 0.005447, 0.100987, 0.002746, 64.509140, -49.414108, 50.375854
1648228479.947466, -1.126771, -9.674969, -1.000028, -0.004867, 0.042203, -0.013272, 64.605835, -49.473007, 50.496750
1648228479.980819, -1.323844, -9.674370, -1.096694, 0.003015, 0.021914, -0.015159, 64.537521, -49.479019, 50.395172
1648228480.013668, -1.506851, -9.602993, -1.055993, 0.014345, 0.056697, -0.027765, 64.600876, -49.690338, 50.325882
1648228480.047465, -1.398513, -9.572318, -1.073500, 0.018075, 0.091059, -0.038708, 64.659134, -49.602951, 50.686188
1648228480.080798, -1.299902, -9.554511, -1.053898, 0.031969, 0.110579, -0.047210, 64.735214, -49.568176, 50.827423
1648228480.114171, -1.283591, -9.732729, -0.988057, 0.020361, 0.097278, -0.042313, 64.631866, -49.401566, 50.695068
1648228480.147472, -1.029507, -9.633519, -0.970549, 0.021439, 0.081729, -0.040661, 64.708862, -49.366653, 50.960510
1648228480.180802, -1.204283, -9.834782, -0.804901, 0.004067, -0.020430, -0.019088, 64.654358, -49.469757, 51.010422
1648228480.214128, -1.334019, -9.784803, -0.738312, -0.011722, -0.066897, -0.016351, 64.881668, -49.662170, 50.950302
1648228480.247464, -1.654693, -9.867553, -0.699705, -0.044748, -0.029950, -0.046113, 64.735535, -49.392426, 50.845245
1648228480.280794, -1.767819, -9.963171, -0.665438, -0.055723, -0.051575, -0.070818, 64.993042, -49.655121, 50.707901
1648228480.314180, -2.076222, -10.125528, -0.645387, -0.072366, -0.016146, -0.112940, 65.139282, -49.317886, 50.468430
1648228480.347463, -2.235436, -9.789292, -0.779163, -0.072710, 0.149055, -0.168730, 65.318054, -49.280472, 50.250946
1648228480.380794, -2.042104, -9.293692, -0.746093, -0.048855, 0.335975, -0.163186, 65.733963, -49.104355, 50.637878
1648228480.414143, -1.374870, -9.087941, -0.449811, -0.090632, 0.433972, -0.183497, 65.963531, -49.005066, 50.416031
1648228480.447464, -0.680701, -9.115923, -0.289549, -0.153914, 0.223002, -0.050944, 65.983246, -49.081650, 50.500870
1648228480.480843, -0.549769, -9.257480, -0.034866, -0.217551, -0.056024, -0.024790, 65.926895, -49.010239, 50.236343
1648228480.514172, -0.820313, -9.069386, -0.090381, -0.317930, -0.282031, -0.022086, 66.043167, -48.825592, 49.471725
1648228480.547477, -0.986860, -8.681375, -0.573411, -0.342963, -0.247936, -0.057617, 66.095276, -48.885925, 48.414551
1648228480.580803, -0.775572, -8.368333, -1.310376, -0.326667, -0.258205, 0.013721, 66.189255, -48.740341, 48.038284
1648228480.614141, -1.881843, -11.072135, -1.973421, -0.156538, -0.410630, 0.180248, 65.979462, -48.737457, 47.627014
1648228480.647476, -3.000234, -11.909956, -2.154781, -0.025127, -0.691443, -0.104556, 66.011978, -48.503464, 47.259262
1648228480.680799, -2.521843, -10.536882, -2.981080, 0.207119, -0.331476, -0.338329, 66.526184, -48.330429, 47.214798
1648228480.714132, -2.620304, -10.011654, -2.429067, 0.211424, -0.077742, -0.355636, 67.277863, -48.140030, 47.604080
1648228480.747021, -2.013973, -8.769961, -1.743128, 0.084825, -0.031481, -0.416152, 67.696533, -47.641144, 47.785553
1648228480.780804, -1.608604, -7.631667, -1.685817, 0.011468, -0.269605, -0.451439, 68.654419, -47.504959, 47.826614
1648228480.814135, -1.825878, -7.651120, -1.744026, -0.013010, -0.491138, -0.457850, 69.368958, -47.343506, 48.113129
1648228480.847182, -2.333898, -8.333617, -2.164957, 0.012883, -0.567091, -0.439428, 70.111786, -46.961411, 47.890793
1648228480.880804, -2.772336, -8.962844, -2.532317, 0.028124, -0.284512, -0.488948, 70.893585, -46.668442, 47.554688
1648228480.913980, -2.706196, -9.366416, -2.605191, 0.053874, 0.041234, -0.528796, 71.849075, -46.278259, 47.504654
1648228480.947464, -1.975665, -9.332598, -2.211045, 0.076704, 0.081994, -0.562047, 72.766129, -45.741684, 47.978516
1648228480.980431, -1.718738, -9.425673, -1.960552, 0.048695, -0.230924, -0.557353, 73.475204, -45.390579, 48.113647
1648228481.014135, -1.795801, -10.066571, -2.125752, 0.093604, -0.366606, -0.419079, 74.439392, -45.166245, 48.019791
1648228481.047468, -2.027889, -11.059266, -2.398092, 0.181101, -0.268004, -0.333475, 75.076202, -44.735153, 48.203812
1648228481.080844, -1.479168, -11.527931, -2.619855, 0.308934, -0.134495, -0.248360, 75.760864, -44.613083, 48.665543
1648228481.114135, -1.000477, -13.216741, -2.153435, 0.319701, 0.043317, -0.104988, 75.989304, -44.531448, 49.161087
1648228481.147470, -0.093524, -13.072491, -1.378162, 0.335103, 0.447329, 0.006789, 75.903534, -44.189499, 49.645203
1648228481.180803, 1.152210, -10.767174, -1.429937, 0.282945, 0.922941, 0.171381, 75.563782, -44.140411, 50.919388
1648228481.214132, 1.373374, -9.692327, -0.468964, 0.020710, 0.969295, 0.420591, 74.979248, -44.466095, 51.409256
1648228481.247472, 1.117793, -9.628731, 0.231489, -0.132928, 0.889132, 0.696250, 73.912888, -44.644669, 51.818054
1648228481.280818, 0.824204, -9.081955, -0.187646, -0.144712, 0.741836, 0.887892, 72.058258, -45.282455, 51.651917
1648228481.314137, 0.233435, -9.077616, -0.517447, -0.204391, 0.536903, 1.159693, 70.240204, -45.759140, 51.628601
