SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1649447379.117534, -0.144101, -9.780015, 1.112705, -0.004527, -0.002396, 0.001932, 68.235886, -26.951416, 52.697311
1649447379.150834, -0.129586, -9.728689, 1.127220, -0.000601, 0.009264, -0.000357, 68.198532, -26.998993, 52.823654
1649447379.184148, -0.226701, -9.747244, 1.128716, -0.003110, 0.002488, -0.000251, 68.386810, -27.010147, 52.461487
1649447379.217580, -0.208296, -9.739014, 1.094001, -0.000743, 0.007820, -0.002761, 68.080505, -27.052261, 52.527618
1649447379.250771, -0.153229, -9.739163, 1.135600, -0.001307, 0.007610, -0.001072, 68.149002, -26.964462, 52.688889
1649447379.284169, -0.162506, -9.755773, 1.112556, -0.001491, 0.005514, 0.001339, 68.136826, -26.767853, 52.317917
1649447379.317505, -0.256180, -9.747543, 1.091157, 0.003078, 0.016001, -0.003389, 68.113785, -26.890366, 52.361145
1649447379.350834, -0.188094, -9.733477, 1.138892, 0.003650, 0.009873, -0.005206, 68.240631, -27.042542, 52.402573
1649447379.383982, -0.161010, -9.746645, 1.120935, 0.000652, 0.007058, -0.001330, 68.172623, -26.901276, 52.581772
1649447379.417502, -0.188693, -9.733776, 1.093851, 0.003200, 0.010842, -0.000503, 68.271133, -26.851913, 52.524307
1649447379.450808, -0.224307, -9.741258, 1.131560, 0.005975, 0.010262, -0.004227, 68.142105, -27.094955, 52.434006
1649447379.484219, -0.128688, -9.731532, 1.136198, 0.002086, 0.000383, -0.000156, 68.289139, -26.999771, 52.385269
1649447379.517475, -0.205901, -9.749788, 1.083526, 0.002862, 0.008264, -0.001543, 68.326660, -26.991180, 52.437042
1649447379.550929, -0.183306, -9.725247, 1.106720, 0.007582, 0.006746, 0.000708, 68.407196, -27.001312, 52.302170
1649447379.584161, -0.148590, -9.746196, 1.134403, 0.006253, 0.002120, 0.002344, 68.235367, -26.909912, 52.291519
1649447379.617499, -0.147842, -9.727043, 1.119888, 0.004136, 0.006795, 0.006131, 68.316055, -26.940628, 52.506271
1649447379.650823, -0.225055, -9.725397, 1.133056, 0.001731, 0.003182, 0.003115, 68.174118, -27.073410, 52.432098
1649447379.684191, -0.243311, -9.761310, 1.120337, 0.001920, 0.011737, 0.000447, 68.152222, -26.869019, 52.087860
1649447379.717565, -0.173430, -9.740959, 1.127968, 0.004355, 0.010583, -0.001092, 68.235352, -27.046753, 52.407700
1649447379.750858, -0.164452, -9.726893, 1.131709, 0.006951, 0.009092, 0.003736, 68.115311, -26.960571, 52.433243
1649447379.784150, -0.218920, -9.717017, 1.134103, 0.005805, 0.008666, -0.003155, 68.197479, -27.050735, 52.399170
1649447379.817551, -0.218770, -9.754127, 1.131560, 0.004603, 0.014867, -0.001799, 68.161743, -26.720474, 52.339706
1649447379.850821, -0.202310, -9.744999, 1.137844, 0.003624, 0.013833, -0.004572, 68.177185, -26.762268, 52.362595
1649447379.884156, -0.161609, -9.726295, 1.125275, 0.004038, 0.011574, 0.002758, 68.151123, -26.927689, 52.343597
1649447379.917567, -0.152481, -9.730335, 1.144428, 0.000487, 0.004449, 0.006021, 68.250092, -26.798737, 52.540833
1649447379.950811, -0.169240, -9.763405, 1.144279, -0.005494, -0.000245, 0.009049, 68.177307, -26.841553, 52.398605
1649447379.984130, -0.205303, -9.749488, 1.139041, -0.001240, 0.003527, 0.004611, 68.039627, -26.808838, 52.711060
1649447380.017503, -0.205004, -9.747094, 1.146074, 0.000169, 0.006894, -0.001156, 68.235352, -26.967377, 52.363571
1649447380.050808, -0.188244, -9.742455, 1.135001, 0.000158, 0.006573, 0.003037, 68.310379, -26.987610, 52.623764
1649447380.083960, -0.232088, -9.765949, 1.123180, -0.002479, 0.013048, -0.001043, 68.123123, -26.946030, 52.569122
1649447380.117476, -0.224456, -9.728539, 1.149815, 0.000717, 0.012142, -0.008664, 67.999268, -26.850815, 52.887222
1649447380.150844, -0.164003, -9.756072, 1.127669, -0.002137, 0.011925, -0.008119, 68.273590, -26.936234, 52.760178
1649447380.184134, -0.225354, -9.745149, 1.126622, -0.000146, 0.022801, -0.007758, 68.229797, -26.866837, 52.723404
1649447380.217479, -0.155922, -9.752631, 1.153107, -0.002295, 0.009196, -0.004299, 68.197739, -27.004959, 52.594742
