SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1649446850.219377, 1.267730, -9.644443, 1.345990, -0.010289, 0.014101, 0.012425, 93.268082, -32.547409, -3.871643
1649446850.252714, 1.246631, -9.652673, 1.402254, -0.002626, -0.009061, 0.028241, 93.192947, -32.492050, -4.205444
1649446850.286040, 1.181539, -9.598055, 1.409287, -0.001529, -0.033936, 0.025595, 93.148773, -32.522980, -4.135117
1649446850.319391, 0.864905, -9.641749, 1.447594, -0.007014, 0.003694, -0.001714, 93.167038, -32.727463, -4.206573
1649446850.352670, 0.982371, -9.660155, 1.449091, -0.016529, 0.032392, -0.016281, 93.224548, -32.739441, -3.818741
1649446850.386079, 1.232116, -9.594165, 1.461361, -0.010170, -0.020388, -0.010610, 93.253540, -32.651230, -4.232971
1649446850.419405, 1.058985, -9.727941, 1.399561, -0.014538, 0.017187, -0.011859, 93.077347, -32.534180, -4.269196
1649446850.452725, 1.314117, -9.633070, 1.323245, -0.007863, 0.014820, 0.005383, 93.145386, -32.429321, -4.377899
1649446850.486011, 1.087566, -9.617807, 1.410783, -0.003655, 0.006169, 0.016532, 93.144745, -32.484818, -4.022797
1649446850.519420, 1.118391, -9.650728, 1.393874, -0.000927, 0.001073, 0.012062, 93.185852, -32.461334, -4.293686
1649446850.552707, 1.084274, -9.650279, 1.371429, 0.001197, 0.016814, 0.006097, 93.114822, -32.505600, -4.413940
1649446850.586002, 1.017685, -9.639355, 1.425448, -0.001911, 0.015800, 0.007185, 93.081589, -32.469009, -4.515915
1649446850.619358, 1.165677, -9.627833, 1.463306, -0.005596, -0.013219, -0.000916, 93.085175, -32.410645, -4.203537
1649446850.652672, 1.068263, -9.689334, 1.353023, -0.003445, 0.005748, -0.004689, 93.077637, -32.382782, -4.385498
1649446850.686852, 1.248726, -9.603741, 1.438915, -0.003703, 0.008730, 0.004955, 93.114090, -32.380127, -4.360703
1649446850.719345, 1.078887, -9.665093, 1.416918, 0.001686, -0.009681, 0.009590, 93.085175, -32.455765, -4.594482
1649446850.752689, 1.079336, -9.658060, 1.337461, -0.001159, 0.014397, 0.000162, 92.891281, -32.452087, -4.335297
1649446850.786003, 1.105074, -9.670929, 1.394922, -0.003679, 0.003375, 0.003599, 93.129074, -32.486816, -4.446594
1649446850.819416, 1.142034, -9.641300, 1.403301, 0.001556, -0.008421, 0.004361, 93.132965, -32.409714, -4.366699
1649446850.852753, 1.051055, -9.604041, 1.371129, 0.000619, 0.011770, -0.001439, 92.984924, -32.404968, -4.406754
1649446850.886060, 1.101333, -9.669432, 1.362600, 0.003306, 0.025202, -0.007410, 93.162506, -32.707336, -4.351212
1649446850.919438, 1.186177, -9.602694, 1.390433, 0.007057, 0.010818, 0.003017, 93.146927, -32.557709, -4.282120
1649446850.952760, 1.192911, -9.572766, 1.378761, 0.009942, 0.008362, 0.006819, 93.117691, -32.526215, -4.102966
