SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1649447291.082729, -1.171214, -9.671976, 1.192163, 0.002649, 0.012579, -0.000515, 89.004333, -44.212387, 53.171112
1649447291.116094, -1.044470, -9.655067, 1.287183, 0.002347, 0.023816, 0.001250, 89.028976, -44.128662, 53.380585
1649447291.149432, -1.010652, -9.659407, 1.244686, 0.003613, 0.010678, 0.005752, 89.110489, -44.423279, 53.062592
1649447291.182757, -1.088913, -9.640403, 1.219247, 0.004423, 0.011859, 0.008478, 89.035980, -44.340714, 53.209427
1649447291.216085, -1.139640, -9.654469, 1.271770, -0.001112, 0.002266, 0.003405, 88.976288, -44.304047, 53.088913
1649447291.249317, -1.044321, -9.647735, 1.255160, -0.000304, 0.006355, -0.000639, 89.003036, -44.223953, 53.262650
1649447291.282795, -1.151761, -9.652224, 1.264587, -0.000791, 0.002993, -0.001816, 88.946136, -44.165756, 53.109039
1649447291.316140, -1.129764, -9.654169, 1.206378, 0.000519, 0.010156, -0.005072, 89.005753, -44.210129, 53.100998
1649447291.349437, -1.007510, -9.695469, 1.276558, -0.004692, 0.009321, -0.002975, 89.040955, -44.145630, 53.191574
1649447291.382642, -1.241244, -9.655666, 1.249474, -0.002582, 0.002634, 0.003756, 89.051056, -44.074005, 53.057999
1649447291.415583, -1.123329, -9.674221, 1.220444, -0.004741, -0.001487, -0.005806, 89.193924, -44.106567, 53.052139
1649447291.448628, -1.145775, -9.661651, 1.276109, -0.004004, 0.003901, -0.014178, 89.006073, -44.184052, 53.210052
1649447291.482743, -0.988506, -9.660005, 1.252317, -0.006148, -0.007206, -0.008552, 88.967926, -44.193161, 53.503082
1649447291.516050, -1.002422, -9.670779, 1.170465, -0.003306, -0.011392, 0.006520, 89.178116, -44.177170, 53.261063
1649447291.549418, -0.966360, -9.677064, 1.216554, -0.004001, -0.025023, 0.009299, 89.295502, -44.185501, 53.270508
1649447291.582518, -1.241094, -9.689633, 1.117045, 0.009345, -0.029332, 0.007950, 89.250397, -44.148285, 53.019958
1649447291.615209, -1.187075, -9.602095, 1.105074, 0.026266, -0.010415, -0.008640, 89.251617, -44.428238, 52.934555
1649447291.649411, -1.118691, -9.644293, 1.194557, 0.039401, 0.003658, -0.029410, 89.216354, -44.090637, 52.802536
1649447291.682746, -1.128417, -9.660005, 1.196652, 0.051228, -0.001791, -0.038716, 89.144165, -44.118698, 53.043579
1649447291.716073, -1.108964, -9.622446, 1.272967, 0.060545, -0.002404, -0.041803, 89.268173, -44.231842, 53.299210
1649447291.749418, -1.048810, -9.655666, 1.262044, 0.064021, 0.008087, -0.046058, 89.591812, -43.958054, 53.368698
1649447291.782756, -1.054646, -9.648932, 1.354520, 0.068285, 0.001235, -0.045425, 89.530411, -44.183105, 53.339249
1649447291.816075, -1.068263, -9.661352, 1.336264, 0.063564, 0.004679, -0.054872, 89.668594, -44.022217, 53.753952
1649447291.849414, -1.074248, -9.654469, 1.356016, 0.063217, 0.004801, -0.076813, 89.796509, -43.983063, 53.900238
1649447291.882733, -1.183334, -9.602245, 1.359308, 0.071015, 0.050206, -0.090273, 89.896194, -43.810944, 54.106049
1649447291.916056, -0.901417, -9.662998, 1.449839, 0.064266, 0.040821, -0.096259, 90.133682, -44.083298, 54.272659
1649447291.949402, -0.817321, -9.669582, 1.444003, 0.068259, 0.043716, -0.083052, 89.898865, -43.686600, 54.623688
1649447291.982742, -0.702997, -9.662250, 1.456572, 0.052408, 0.027359, -0.062804, 90.249771, -43.768478, 54.089752
1649447292.016077, -0.764349, -9.734225, 1.466299, 0.050484, 0.035464, -0.043355, 90.369247, -43.709869, 54.546539
1649447292.049410, -0.725593, -9.648333, 1.445948, 0.047618, 0.011894, -0.023950, 90.332596, -43.664383, 54.442047
1649447292.082728, -0.891391, -9.637111, 1.542315, 0.046685, 0.040199, -0.030048, 90.338013, -43.669724, 54.421234
1649447292.116072, -0.910246, -9.619902, 1.685518, 0.024019, -0.000040, -0.042131, 90.538544, -43.554260, 54.477966
1649447292.149391, -1.070807, -9.663896, 1.616236, 0.013657, -0.003264, -0.071693, 90.599731, -43.694122, 54.341995
1649447292.182721, -1.035642, -9.595661, 1.499369, 0.016260, 0.052108, -0.105581, 90.708313, -43.650146, 54.544449
1649447292.216056, -0.746692, -9.604190, 1.599027, 0.005263, 0.053233, -0.115158, 90.948547, -43.623871, 54.695358
1649447292.249382, -0.757017, -9.656115, 1.553987, -0.001761, 0.062235, -0.117712, 91.073318, -43.770645, 54.649353
1649447292.282701, -0.645088, -9.598055, 1.563264, -0.003815, 0.076287, -0.118755, 91.444519, -43.707718, 54.471085
1649447292.316056, -0.593463, -9.710134, 1.524658, -0.012022, 0.058279, -0.107914, 91.294998, -43.495834, 54.731644
1649447292.349404, -0.577751, -9.640852, 1.446846, -0.008866, 0.061252, -0.097966, 91.502777, -43.382309, 54.702881
1649447292.382734, -0.292691, -9.663596, 1.465401, -0.002101, 0.041163, -0.067470, 91.322922, -43.292435, 54.676468
1649447292.416077, -0.331298, -9.714773, 1.413626, 0.003700, 0.021606, -0.028172, 91.564392, -43.369370, 54.611069
1649447292.449444, -0.227599, -9.651177, 1.541417, -0.001322, -0.026767, 0.008502, 91.572037, -43.415146, 54.628448
1649447292.482714, -0.598401, -9.706094, 1.402853, 0.001718, -0.042683, 0.024649, 91.667786, -43.309753, 54.352463
