SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1649447711.300891, 0.258424, -9.651027, 1.755399, -0.001135, 0.009018, -0.004234, 104.883835, -38.787125, 42.310547
1649447711.334262, 0.027084, -9.626636, 1.781885, -0.001214, 0.062323, -0.010232, 104.815750, -38.815079, 42.364166
1649447711.367593, 0.093524, -9.595811, 1.811962, -0.004388, 0.035876, -0.011665, 104.662430, -38.882736, 42.456985
1649447711.400513, -0.047585, -9.647885, 1.803432, -0.005532, 0.054860, -0.026431, 104.748337, -38.653336, 42.356461
1649447711.433530, 0.027683, -9.677812, 1.860145, -0.000865, 0.065570, -0.033705, 104.378632, -38.649445, 42.524643
1649447711.467537, 0.295534, -9.689933, 1.813907, -0.006130, 0.020090, -0.016349, 104.622238, -38.543137, 42.681183
1649447711.500866, 0.116119, -9.642647, 1.856853, -0.008485, 0.009916, -0.012822, 104.707916, -38.694809, 42.681061
1649447711.534198, 0.117615, -9.639804, 1.826477, -0.009788, 0.002523, -0.014356, 104.642303, -38.767670, 42.679520
1649447711.567417, 0.033519, -9.674071, 1.807922, -0.009700, 0.001482, -0.018558, 104.749130, -38.719681, 42.708847
1649447711.600869, 0.173131, -9.651775, 1.725322, -0.009497, 0.016227, -0.013635, 104.549377, -38.690033, 42.466766
1649447711.633386, 0.158017, -9.619154, 1.798345, -0.007256, 0.002785, -0.003445, 104.827087, -38.691650, 42.434616
1649447711.667552, 0.172233, -9.627983, 1.802983, -0.011955, -0.004870, 0.001166, 104.768494, -38.739624, 42.537262
1649447711.700846, 0.117166, -9.665691, 1.709909, -0.008058, 0.005705, 0.005320, 104.748917, -38.878983, 42.594559
1649447711.734201, 0.101903, -9.637111, 1.774702, -0.005779, 0.015878, 0.003132, 104.851761, -38.646851, 42.799438
1649447711.767496, 0.064943, -9.638906, 1.794903, -0.009295, 0.014049, -0.006193, 104.684387, -38.641785, 42.662491
1649447711.800841, -0.027234, -9.613318, 1.822436, -0.009994, 0.024760, -0.025187, 104.719421, -38.615067, 42.773361
1649447711.834192, -0.093224, -9.667487, 1.791461, -0.007870, 0.065205, -0.043536, 104.852783, -38.702637, 42.550278
1649447711.867548, 0.156820, -9.654020, 1.783531, -0.009100, 0.039111, -0.046764, 104.785385, -38.681305, 42.570923
1649447711.900860, 0.004788, -9.631873, 1.731457, -0.005277, 0.059563, -0.066428, 105.065598, -38.537155, 42.488480
1649447711.934177, 0.040552, -9.569175, 1.736694, 0.003472, 0.089069, -0.088425, 105.001099, -38.460571, 42.567215
1649447711.967505, 0.359280, -9.793033, 1.771410, 0.012998, 0.143153, -0.063442, 105.009613, -38.520752, 42.458221
1649447712.000915, 0.568174, -9.597457, 1.761235, 0.025069, -0.005527, -0.024266, 105.173080, -38.528244, 42.488724
1649447712.034179, 0.035913, -9.647136, 1.757494, 0.052754, 0.033614, -0.015586, 105.100082, -38.468430, 43.059631
1649447712.067504, 0.338031, -9.701904, 1.814805, 0.041155, -0.002603, -0.022223, 105.015259, -38.359589, 43.263916
1649447712.100843, -0.081552, -9.653571, 1.851765, 0.049301, 0.039171, -0.063500, 104.954239, -38.122070, 43.241241
1649447712.134174, -0.334889, -9.777022, 1.947533, 0.034133, 0.103725, -0.128947, 105.253448, -38.290710, 43.641983
1649447712.167538, -0.180313, -9.426570, 1.626860, 0.098177, 0.041738, -0.118577, 105.210449, -38.281357, 43.275711
1649447712.200845, 1.410634, -10.600477, 1.389236, 0.108711, 0.143808, 0.091714, 105.240891, -38.102844, 43.775375
1649447712.234236, 1.998410, -9.218125, 1.735946, 0.157214, -0.220658, 0.250045, 105.067108, -38.181061, 43.546692
1649447712.267533, 0.498293, -9.288754, 1.961450, 0.150057, -0.098697, 0.249125, 104.876205, -38.232513, 43.865387
1649447712.300838, -0.071377, -9.395745, 2.422334, 0.098035, -0.097855, 0.174178, 104.779327, -38.048828, 43.777344
1649447712.334167, -0.099808, -9.444377, 2.443432, 0.037850, -0.281232, 0.100034, 104.732330, -38.182922, 43.588547
1649447712.367500, -1.285088, -10.070012, 2.163610, 0.067170, 0.072816, 0.070635, 104.624817, -38.158722, 43.777435
1649447712.400837, 0.936582, -9.427019, 2.177526, 0.048917, -0.093468, 0.129669, 104.505096, -38.314774, 43.817444
1649447712.434164, -0.465523, -9.560347, 2.155979, 0.027747, -0.028325, 0.094388, 104.568207, -38.188889, 43.609299
1649447712.467499, -0.133926, -9.472958, 2.192939, 0.008607, -0.013196, 0.035920, 104.395401, -37.988052, 44.010361
1649447712.500831, -0.673369, -9.742455, 2.329259, 0.016089, 0.045642, 0.014378, 104.479996, -37.982010, 43.684555
1649447712.534165, 0.588525, -9.611223, 2.134132, -0.001759, -0.021010, 0.048907, 104.301941, -37.868256, 43.500687
1649447712.567493, -0.119411, -9.536704, 2.190096, -0.011368, -0.060632, 0.053849, 104.357803, -38.016083, 43.608627
1649447712.600855, -0.325312, -9.565584, 2.173486, -0.019636, -0.001182, 0.016069, 104.352051, -38.328568, 43.537720
1649447712.634159, -0.006883, -9.590424, 2.056320, -0.018400, 0.007755, 0.023631, 104.518677, -38.339233, 43.536407
1649447712.667492, 0.087388, -9.618855, 2.057218, -0.012542, 0.027407, 0.047814, 104.544983, -38.139740, 43.401016
1649447712.700832, -0.042946, -9.613917, 2.233042, -0.025579, -0.021154, 0.060944, 104.371582, -38.237000, 43.329575
1649447712.733732, -0.330549, -9.609577, 2.136526, -0.047158, -0.026480, 0.027269, 104.282623, -38.238449, 43.350861
1649447712.767493, -0.260519, -9.611822, 2.137872, -0.047210, 0.003233, 0.000949, 104.356644, -38.430725, 43.207077
1649447712.800825, -0.187795, -9.603143, 2.088791, -0.041967, 0.022454, 0.006216, 104.260239, -38.549469, 43.223938
1649447712.833370, 0.116119, -9.624541, 1.977461, -0.031762, -0.035714, 0.045542, 104.206406, -38.410660, 43.057419
1649447712.867490, -0.237325, -9.570223, 2.063054, -0.032554, 0.002864, 0.042608, 104.048340, -38.500397, 42.826447
1649447712.900826, -0.114173, -9.652074, 2.002002, -0.034664, -0.023860, 0.040257, 103.963669, -38.233322, 42.940308
1649447712.933805, -0.290147, -9.536105, 1.991228, -0.014795, -0.028829, 0.039317, 103.923279, -38.548660, 42.877487
1649447712.966805, -0.109235, -9.597606, 1.920299, -0.014843, 0.003662, 0.036140, 103.725693, -38.226593, 42.727264
