SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1648228034.712141, 6.059575, 7.353790, -4.223222, 0.363695, -0.189483, 0.122420, 75.970627, 24.186310, 23.154037
1648228034.745375, 6.202030, 7.220763, -4.434510, 0.467836, -0.042639, 0.257149, 75.779968, 23.743378, 22.778595
1648228034.778700, 6.374861, 7.006482, -4.652682, 0.569786, -0.024613, 0.326041, 76.070496, 23.216232, 22.512650
1648228034.812032, 5.995680, 7.208343, -3.926640, 0.650792, -0.199682, 0.552331, 76.086990, 22.202682, 22.078033
1648228034.845360, 5.223849, 7.048679, -5.299565, 0.714137, -0.638413, 0.280135, 75.770035, 21.814743, 20.880325
1648228034.878757, 5.758205, 6.496217, -4.869806, 0.485889, -0.463486, 0.079726, 75.377777, 21.282104, 20.381058
1648228034.912035, 5.903802, 6.564003, -2.741660, 0.097089, -0.471319, 0.304502, 74.991135, 21.081543, 19.491684
1648228034.945378, 6.208763, 5.876119, -3.851822, -0.358798, -0.558829, 0.361563, 74.676514, 21.035187, 19.353882
1648228034.978701, 5.714660, 5.702091, -5.103540, -0.501263, -0.561100, 0.202798, 74.035538, 21.587723, 19.093414
1648228035.012036, 5.447108, 5.284452, -4.119972, -0.712348, -0.484351, -0.011163, 73.541901, 22.296051, 18.912231
1648228035.045367, 5.620239, 6.407781, -4.274997, -0.865964, -0.399283, -0.098351, 72.877045, 23.395370, 18.919144
1648228035.078735, 5.360468, 5.826290, -3.668815, -0.973769, -0.392546, -0.350169, 72.313339, 24.331833, 19.358551
1648228035.112035, 4.033631, 5.839159, -3.583821, -1.230023, -0.242795, -1.004878, 71.321472, 25.779160, 19.646347
1648228035.145392, 3.234267, 5.798756, -4.317943, -1.274347, -0.173927, -2.128632, 69.110306, 28.413559, 21.040649
1648228035.178813, 2.758120, 7.083395, -3.831620, -1.285206, -0.617067, -2.192236, 67.050262, 30.280502, 21.532867
1648228035.212002, 2.916736, 7.684789, -4.000262, -0.985470, -0.705747, -1.881302, 64.675079, 31.451233, 22.063019
1648228035.245406, 3.546561, 8.570793, -3.958513, -1.068588, -0.857549, -2.181255, 62.110519, 32.874710, 22.769501
1648228035.278710, 4.858434, 8.260894, -3.444358, -0.967951, -0.362241, -1.318748, 59.247925, 34.072021, 23.879425
1648228035.311193, 3.199102, 8.673295, -3.761889, -0.332244, -0.920826, -0.288834, 57.620605, 34.784821, 24.189774
