SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1648228108.532053, 5.532252, 7.941866, -0.855478, -0.136362, 0.110190, -0.076446, 98.443954, 59.899109, 65.428040
1648228108.565375, 5.074959, 7.974936, -0.988506, -0.167405, 0.100510, -0.059245, 98.263687, 59.680832, 65.693268
1648228108.598702, 5.053711, 8.053197, -0.700753, -0.119509, 0.261282, -0.123660, 98.042160, 59.653763, 66.021820
1648228108.632094, 5.129128, 7.896227, -1.210867, 0.024271, 0.444742, -0.195305, 97.627182, 59.987656, 66.410065
1648228108.665363, 5.205144, 7.801207, -0.544980, 0.045928, 0.857471, -0.219300, 97.099365, 60.201721, 67.128860
1648228108.698698, 5.000290, 7.925107, -1.142333, -0.008204, 0.706993, -0.296424, 95.910065, 60.547928, 68.460846
1648228108.732084, 4.839280, 8.072051, -0.651821, -0.230926, 0.442419, -0.415375, 95.032669, 60.977875, 69.005722
1648228108.765373, 5.528511, 7.711424, -0.006883, -0.300475, 0.343325, -0.659292, 94.618851, 61.177429, 69.599289
1648228108.798716, 3.970335, 5.420473, 0.153379, -0.764147, 0.861470, -1.269136, 91.912033, 62.247696, 71.367081
1648228108.832093, 2.347964, 7.042993, -0.181660, -0.800504, 0.784199, -2.538895, 88.190430, 64.107162, 74.120941
1648228108.865375, 2.532168, 6.887819, 1.124078, -0.156694, 0.859557, -2.576125, 83.014069, 66.478195, 75.422241
1648228108.898709, 3.487304, 6.686257, 0.735618, -0.411618, 1.376146, -0.813673, 78.660141, 68.504684, 77.082382
1648228108.932036, 3.095403, 7.730578, 0.157419, -0.752132, 0.641916, 0.021612, 78.544586, 67.802353, 79.107620
1648228108.965375, 3.154211, 8.268076, 0.677858, -0.336395, 0.943419, -0.449033, 78.397659, 67.751831, 80.085373
1648228108.998705, 2.517353, 9.135675, 1.853561, -0.868823, 0.826604, -1.331205, 75.796539, 68.154373, 82.714233
1648228109.032033, 2.058565, 9.265860, 1.158794, -0.876924, 0.347759, -1.318138, 73.719086, 68.393997, 84.812576
1648228109.064460, 1.460613, 9.538948, 0.470760, -0.951668, 0.957844, -1.195814, 71.472244, 68.212112, 87.160583
1648228109.098760, 2.776526, 12.308142, 1.956661, -0.735226, 0.014849, -0.989923, 69.479996, 67.863007, 89.299255
1648228109.132088, 2.413056, 15.747413, -1.715445, -0.127362, 1.041009, -0.318426, 68.166138, 67.171371, 89.147964
1648228109.165262, 4.784213, 11.676821, -1.944990, 0.797400, 0.381887, 0.263224, 67.437042, 67.396240, 87.724762
1648228109.198328, 5.413290, 12.487408, -0.477194, 1.333978, 0.468380, 0.700578, 67.476227, 67.285675, 84.918167
1648228109.231280, 4.784064, 12.156858, -1.875408, 2.123964, -0.444473, 1.236296, 69.743942, 67.532791, 79.091293
1648228109.265369, 0.039654, 9.822362, -3.994875, 3.220002, -0.699894, 1.344281, 71.621933, 68.217239, 72.656204
1648228109.298702, 0.277278, 13.596671, -0.345813, 3.177700, -0.474482, 1.125399, 73.452286, 68.497147, 64.728973
1648228109.332038, 0.702100, 14.182054, 3.763535, 2.179587, 0.998419, 0.595827, 73.398392, 67.958405, 58.264023
1648228109.365375, -0.145897, 13.173496, 3.361609, 1.695424, 1.006573, -0.150058, 71.669113, 67.165695, 55.671646
1648228109.398712, 1.155651, 11.737125, -3.539378, 2.018295, -1.916898, 0.163896, 70.133133, 66.500168, 51.562515
1648228109.432048, 2.733430, 9.320926, -2.819172, 1.757854, -0.247430, 1.209812, 70.037018, 65.617874, 47.797226
1648228109.465524, 0.390704, 6.967875, 1.970727, 1.662469, -1.305750, 1.005912, 70.782913, 63.995316, 43.487961
1648228109.498224, 0.201711, 4.261380, 1.598728, 1.454443, -1.310580, 0.646417, 70.950607, 63.017792, 40.341675
1648228109.532049, -1.061080, 3.527407, 1.124826, 0.612091, -1.065493, 0.470359, 70.938522, 62.094452, 39.031235
1648228109.565372, -1.136198, 3.911228, 0.706738, -0.187449, -0.944024, 0.157256, 70.631317, 61.446808, 38.269333
1648228109.598712, -0.423026, 2.931999, 0.054318, -1.218850, -0.972048, -0.074335, 69.932861, 61.379578, 39.837204
1648228109.632039, 1.053748, 3.463512, -2.709488, -2.558729, 0.084245, -0.102794, 69.330215, 61.776428, 43.733887
1648228109.665370, 10.830770, 17.117794, -29.108405, 1.090484, 1.542812, 0.872236, 69.490646, 61.032883, 45.442673
1648228109.698720, 10.493936, 21.835269, -6.175095, 0.805194, -1.808058, 0.374754, 69.392105, 60.512329, 43.626221
1648228109.732045, 1.819743, 4.049194, -6.031443, 0.437531, -0.174311, 0.422443, 68.824646, 60.508270, 42.778976
1648228109.765369, -6.245125, 13.776536, -6.421099, 0.072219, 0.144002, -0.285559, 67.955032, 60.500214, 42.855759
1648228109.798703, -1.405097, 17.505355, 0.801160, -0.587298, -0.808509, -0.808299, 65.365631, 61.207275, 43.420013
1648228109.832042, 2.391807, 6.208464, 5.175217, -0.795140, 0.263661, -0.402643, 64.124207, 61.651138, 44.528961
1648228109.865366, -3.100641, 5.271134, 1.009306, -1.451571, 1.489086, -1.114947, 62.497955, 62.179932, 46.669998
1648228109.898702, 0.835876, 10.229975, 4.947917, -2.832855, 1.761736, -1.451653, 58.372940, 62.613586, 52.142227
1648228109.932044, 2.351106, 13.865271, -1.383250, -1.811520, 0.775065, -1.002640, 55.987366, 62.119339, 56.417526
